"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"1020103-10","","山領北(1)","","33.23013","130.33691","1020103-10","","0","1020103","",""
"1020102-10","","光法(1)","","33.23295","130.33052","1020102-10","","0","1020102","",""
"1020101-10","","光法西(1)","","33.23423","130.32762","1020101-10","","0","1020101","",""
"1020100-10","","千々岩(1)","","33.2355","130.32481","1020100-10","","0","1020100","",""
"1020099-10","","東高校前(1)","","33.23755","130.32016","1020099-10","","0","1020099","",""
"1020098-10","","南佐賀(1)","","33.23907","130.31671","1020098-10","","0","1020098","",""
"1020097-10","","自動車学校前(1)","","33.24046","130.31364","1020097-10","","0","1020097","",""
"1020096-02","","大崎(2)","","33.24173","130.31017","1020096-02","","0","1020096","",""
"1021119-20","","水ヶ江(2)","","33.2471","130.30908","1021119-20","","0","1021119","",""
"1021120-10","","朝日町(1)","","33.24748","130.31224","1021120-10","","0","1021120","",""
"1021121-20","","安住団地入口(2)","","33.24523","130.31444","1021121-20","","0","1021121","",""
"1021122-20","","武藤(2)","","33.24207","130.3161","1021122-20","","0","1021122","",""
"1021123-20","","中原眼科前(2)","","33.24112","130.32079","1021123-20","","0","1021123","",""
"1021124-20","","北川副小西(2)","","33.24029","130.32257","1021124-20","","0","1021124","",""
"1021125-20","","北川副公民館前(2)","","33.2391","130.32469","1021125-20","","0","1021125","",""
"1021126-20","","江上(2)","","33.23926","130.3277","1021126-20","","0","1021126","",""
"1021127-20","","増田宿(2)","","33.2388","130.33157","1021127-20","","0","1021127","",""
"1021128-20","","光法団地前(2)","","33.23587","130.33182","1021128-20","","0","1021128","",""
"1021129-20","","光法北(2)","","33.23342","130.33192","1021129-20","","0","1021129","",""
"1021130-20","","諸富橋北(2)","","33.22437","130.36456","1021130-20","","0","1021130","",""
"1021131-20","","味の素東門(2)","","33.22566","130.36603","1021131-20","","0","1021131","",""
"1021132-20","","徳富大橋(2)","","33.22955","130.37042","1021132-20","","0","1021132","",""
"1021133-20","","徳富(2)","","33.23484","130.37085","1021133-20","","0","1021133","",""
"1021134-00","","橋津","","33.23615","130.3698","1021134-00","","0","1021134","",""
"1021133-10","","徳富(1)","","33.23503","130.3708","1021133-10","","0","1021133","",""
"1021132-10","","徳富大橋(1)","","33.22923","130.3703","1021132-10","","0","1021132","",""
"1021131-10","","味の素東門(1)","","33.22527","130.3656","1021131-10","","0","1021131","",""
"1021130-10","","諸富橋北(1)","","33.22313","130.36362","1021130-10","","0","1021130","",""
"1021129-10","","光法北(1)","","33.23372","130.33179","1021129-10","","0","1021129","",""
"1021128-10","","光法団地前(1)","","33.23596","130.33171","1021128-10","","0","1021128","",""
"1021127-10","","増田宿(1)","","33.23855","130.33151","1021127-10","","0","1021127","",""
"1021126-10","","江上(1)","","33.23919","130.32738","1021126-10","","0","1021126","",""
"1021125-10","","北川副公民館前(1)","","33.23889","130.32327","1021125-10","","0","1021125","",""
"1021124-10","","北川副小西(1)","","33.23995","130.32237","1021124-10","","0","1021124","",""
"1021123-10","","中原眼科前(1)","","33.24092","130.3206","1021123-10","","0","1021123","",""
"1021122-10","","武藤(1)","","33.24208","130.31606","1021122-10","","0","1021122","",""
"1021121-10","","安住団地入口(1)","","33.24539","130.31435","1021121-10","","0","1021121","",""
"1021120-20","","朝日町(2)","","33.24732","130.3119","1021120-20","","0","1021120","",""
"1021119-10","","水ヶ江(1)","","33.247","130.30925","1021119-10","","0","1021119","",""
"1001002-02","","佐賀駅バスセンター(2)","","33.26445","130.29951","1001002-02","","0","1001002","",""
"1030219-02","","堀江通(2)","","33.26412","130.29416","1030219-02","","0","1030219","",""
"1030220-20","","東神野(2)","","33.2658","130.29347","1030220-20","","0","1030220","",""
"1030221-20","","三溝(2)","","33.26921","130.29375","1030221-20","","0","1030221","",""
"1030222-20","","商業高校前(2)","","33.27101","130.29388","1030222-20","","0","1030222","",""
"1030223-20","","市文化会館前(2)","","33.27649","130.29311","1030223-20","","0","1030223","",""
"1030224-20","","総合体育館前(2)","","33.2789","130.2925","1030224-20","","0","1030224","",""
"1030225-20","","館橋(2)","","33.28109","130.29205","1030225-20","","0","1030225","",""
"1030226-20","","高木瀬小学校前(2)","","33.28419","130.2912","1030226-20","","0","1030226","",""
"1030227-03","","高木瀬公民館前(3)","","33.28669","130.28943","1030227-03","","0","1030227","",""
"1030228-20","","高木瀬工場団地(2)","","33.28812","130.28841","1030228-20","","0","1030228","",""
"1030229-20","","三本松(2)","","33.29486","130.2867","1030229-20","","0","1030229","",""
"1030230-20","","川原(2)","","33.29863","130.28543","1030230-20","","0","1030230","",""
"1030231-20","","福田(2)","","33.30158","130.28442","1030231-20","","0","1030231","",""
"1030232-20","","グリコ乳業前(2)","","33.304326","130.283391","1030232-20","","0","1030232","",""
"1030233-20","","尼寺(2)","","33.30856","130.28197","1030233-20","","0","1030233","",""
"1030234-02","","尼寺東(2)","","33.311","130.28474","1030234-02","","0","1030234","",""
"1030235-10","","真島(1)","","33.31116","130.2879","1030235-10","","0","1030235","",""
"1030236-20","","福島(2)","","33.31093","130.2925","1030236-20","","0","1030236","",""
"1030237-20","","西千布(2)","","33.31054","130.2973","1030237-20","","0","1030237","",""
"1030238-20","","千布(2)","","33.31033","130.29997","1030238-20","","0","1030238","",""
"1030239-20","","金立団地前(2)","","33.3122","130.30092","1030239-20","","0","1030239","",""
"1030240-20","","整肢学園前(2)","","33.315499","130.301028","1030240-20","","0","1030240","",""
"1030241-20","","金立(2)","","33.31881","130.30103","1030241-20","","0","1030241","",""
"1030242-20","","正現社前(2)","","33.32054","130.30232","1030242-20","","0","1030242","",""
"1030243-20","","来迎寺(2)","","33.32154","130.30588","1030243-20","","0","1030243","",""
"1030244-20","","若宮原(2)","","33.32251","130.31284","1030244-20","","0","1030244","",""
"1030245-20","","自動車試験場前(2)","","33.3237","130.31604","1030245-20","","0","1030245","",""
"1030246-00","","運転免許センター","","33.32443","130.31787","1030246-00","","0","1030246","",""
"1030245-10","","自動車試験場前(1)","","33.3236","130.31622","1030245-10","","0","1030245","",""
"1030244-10","","若宮原(1)","","33.32254","130.31331","1030244-10","","0","1030244","",""
"1030243-10","","来迎寺(1)","","33.32151","130.30641","1030243-10","","0","1030243","",""
"1030242-10","","正現社前(1)","","33.32061","130.30254","1030242-10","","0","1030242","",""
"1030241-10","","金立(1)","","33.31923","130.30133","1030241-10","","0","1030241","",""
"1030240-10","","整肢学園前(1)","","33.314602","130.301099","1030240-10","","0","1030240","",""
"1030239-10","","金立団地前(1)","","33.31202","130.30103","1030239-10","","0","1030239","",""
"1030238-10","","千布(1)","","33.3102","130.30026","1030238-10","","0","1030238","",""
"1030237-10","","西千布(1)","","33.31045","130.29726","1030237-10","","0","1030237","",""
"1030236-10","","福島(1)","","33.31089","130.29245","1030236-10","","0","1030236","",""
"1030234-01","","尼寺東(1)","","33.31089","130.28452","1030234-01","","0","1030234","",""
"1030233-10","","尼寺(1)","","33.30854","130.2821","1030233-10","","0","1030233","",""
"1030232-10","","グリコ乳業前(1)","","33.304763","130.283353","1030232-10","","0","1030232","",""
"1030231-10","","福田(1)","","33.30198","130.28438","1030231-10","","0","1030231","",""
"1030230-10","","川原(1)","","33.29902","130.28534","1030230-10","","0","1030230","",""
"1030229-10","","三本松(1)","","33.29468","130.28687","1030229-10","","0","1030229","",""
"1030228-10","","高木瀬工場団地(1)","","33.28853","130.2883","1030228-10","","0","1030228","",""
"1030227-01","","高木瀬公民館前(1)","","33.2865","130.2897","1030227-01","","0","1030227","",""
"1030226-10","","高木瀬小学校前(1)","","33.28436","130.29123","1030226-10","","0","1030226","",""
"1030225-10","","館橋(1)","","33.28097","130.29225","1030225-10","","0","1030225","",""
"1030224-10","","総合体育館前(1)","","33.27824","130.29289","1030224-10","","0","1030224","",""
"1030223-10","","市文化会館前(1)","","33.27626","130.29344","1030223-10","","0","1030223","",""
"1030222-10","","商業高校前(1)","","33.27176","130.2941","1030222-10","","0","1030222","",""
"1030221-10","","三溝(1)","","33.26902","130.29391","1030221-10","","0","1030221","",""
